gene_id,DO229117,DO229119,DO229113,DO229112,DO229114,DO229065,DO229064,DO229067,DO229066,DO229069,DO229068,DO229070,DO229072,DO229071,DO229074,DO229073,DO229076,DO229075,DO229078,DO229077,DO229079,DO229081,DO229080,DO229083,DO229082
PPARG,1181,415,570,118,1482,597,5576,488,1503,1346,634,106,3387,1739,278,1141,659,432,10318,1295,212,2463,519,856,625
PRDM1,2765,338,3366,688,3842,1914,2217,3277,782,2147,1058,437,1724,1741,1122,2065,3231,3242,1931,1018,2147,236,1733,3886,3020
PRDM10,9542,3619,2347,4596,10231,2701,3170,3736,3224,2424,4680,4582,3676,3489,5059,3881,4557,4829,3128,5225,4159,4293,3043,4792,7242
PRDM12,105,41,55,59,51,105,20,42,97,120,21,51,62,32,25,17,7,26,12,51,42,35,36,37,31
PRDM13,5,1,2,0,0,7,0,2,0,2,0,141,3,0,0,0,0,4,0,6,0,1,0,13,5
PRDM14,1,3,3,5,4,9,0,0,1,1,0,8,4,4,0,0,0,4,0,3,0,2,1,12,9
PRDM15,5410,1937,3788,4689,5497,1995,1824,1832,3355,1546,1884,2568,2681,2051,3749,2275,3392,3409,1747,3923,4017,5071,3615,3784,4744
PRDM16,708,12,234,166,275,194,219,206,29,278,79,44,323,185,174,476,191,271,448,128,211,202,455,391,626
PRDM2,10679,10722,10745,9930,14970,11422,13928,13194,9851,8984,13123,13082,15882,9894,12529,16520,17584,10961,13260,14408,8833,5442,9084,15131,22678
PRDM4,5846,6751,5885,5364,6191,9263,8351,7461,6307,7691,9220,6619,10689,6579,6977,10965,7630,5332,7734,7229,6194,10746,5598,7254,8081
PRDM5,890,88,1312,643,1726,877,2292,1073,1287,381,616,314,1699,781,846,1772,1385,1451,1337,1626,1284,114,870,1217,2319
PRDM6,685,6,1330,510,1358,468,1253,1075,190,391,130,136,766,722,320,1389,417,267,504,523,940,79,755,1276,899
PRDM8,2290,116,5236,426,1963,1559,8978,2991,629,291,559,549,9060,2318,1988,3528,1425,4206,1368,2745,1463,550,1353,2029,5289
PRDM9,2,4,5,0,3,8,2,2,0,11,0,14,4,0,4,0,0,7,1,23,0,3,4,25,10
PREB,16273,22167,17680,17253,17759,21629,16360,15624,21266,39857,14283,14084,18322,20279,15703,17962,26262,16089,16837,14089,15727,10247,21073,14882,11598
PRMT3,5006,2604,2847,4646,3047,3757,3170,3767,5007,4246,2988,4965,3497,3174,4740,5013,5174,3813,3496,3562,3324,4803,3374,3997,4730
PROP1,19,1,6,49,7,3,0,1,12,1,5,2,6,8,86,1,10,11,1,8,2,19,1,42,7
PROX1,299,12,106,33,319,946,1397,214,15,6620,870,121,607,87,189,726,3108,236,588,407,189,10,191,242,809
PROX2,221,654,572,1240,326,104,131,179,391,104,172,314,247,158,1000,153,403,576,112,550,271,1697,265,933,897
PRR12,10627,9077,9254,10264,8292,11765,10641,10859,9483,6949,8828,16611,13095,10700,10348,10495,5529,6770,10155,10730,5989,7943,8916,9538,12827
PRRX1,11386,411,16964,1854,13537,7557,33380,15092,2653,7688,3499,1320,14393,8727,3687,15025,13740,8454,9176,6256,8498,839,7185,11883,12468
PRRX2,2114,59,2350,205,1799,734,2122,2416,368,1278,575,308,1100,891,305,2128,1996,763,1052,820,1327,75,1152,1078,1075
PTF1A,8,3,4,8,0,2,1,0,3,2,2,2,1,1,1,1,1,2,0,0,1,3,0,7,1
PURA,2646,2225,3787,3113,4428,5988,5792,4316,3072,4057,5832,4006,6098,3370,6334,6847,4933,4921,4829,8043,4264,3687,2802,3894,3829
PURB,19173,17990,15846,19813,22841,14347,17693,16490,27071,14360,25673,26666,24696,14260,20244,21303,24113,18458,23682,24381,10190,12771,16750,16593,16757
PURG,154,5,161,13,189,39,102,133,23,51,8,14,89,47,38,112,42,107,53,66,126,19,126,106,225
RAG1,58,160,94,32,254,165,214,133,111,127,38,64,337,89,68,167,86,121,325,1643,57,83,15,161,235
RARA,5533,1662,5803,2600,5791,5304,9683,5611,3889,6349,4207,2455,9380,4634,2108,9610,5582,4080,6502,3618,4221,2094,4684,6051,4968
RARB,1604,477,2072,1403,3684,2185,4358,2835,1748,2101,1935,752,3487,2305,1151,2977,1545,1373,1516,1551,1517,1119,1228,2342,2906
RARG,4123,796,4304,1672,5716,2886,6286,3641,2122,2612,1361,1138,7941,3287,1749,4823,2232,2197,3860,2391,3404,695,3705,4270,5242
RAX,0,0,3,0,3,7,5,0,1,2,17,6,127,2,0,0,5,5,23,517,0,0,0,5,17
RAX2,0,0,1,0,1,4,0,1,0,1,0,0,0,0,0,2,0,5,1,2,0,0,0,1,2
RBCK1,25010,20290,29105,30079,19728,19278,21200,23542,26796,27375,22851,31029,22183,23009,21452,17909,21472,21685,18737,22759,33619,26883,33433,17907,18359
RBPJ,15376,13868,19966,18379,21454,26713,23756,23152,14687,15870,19442,20951,21574,12876,17633,20943,20040,15599,19732,26680,14468,16198,15217,17880,25876
RBPJL,13,1,1,2,2,9,6,0,1,4,1,7,2,5,1,1,11,4,28,2,3,7,2,18,2
REL,573,738,797,860,4551,1140,2523,1841,2254,616,1835,1034,3553,1209,2609,4318,6906,1422,1149,2506,1407,758,1642,2376,2553
RELA,21835,18781,17852,19416,20481,27452,22203,20180,17211,19704,31607,31894,23026,17185,13660,21763,23439,18637,30187,18144,16757,15566,16983,17616,21723
RELB,4429,468,2944,2504,4210,4156,5713,5699,2337,4030,4138,4036,6315,3342,1110,5383,14675,3659,5270,1759,2356,1087,4093,2500,1860
REPIN1,31986,34202,35003,42867,32666,33591,31845,31255,110353,67482,35904,48176,37238,51056,41256,34407,26270,26524,42388,28016,29644,57204,42811,28473,29728
REST,8316,8619,7921,6274,10350,11982,11308,8711,7784,8333,12108,5571,14475,9956,11589,11928,8872,9884,13868,10734,8339,8931,5677,10855,11170
REXO4,6994,6964,6488,6544,4547,6378,6722,7011,11180,8379,7459,9866,7883,8233,5678,7558,4043,4636,7015,5364,4298,7853,5297,5224,5634
RFX1,4788,3713,4671,5369,3853,3996,5508,4245,3474,2697,3800,6676,5813,4967,2853,3585,3625,3799,5689,3913,4814,4096,3702,3720,3780
RFX2,1725,803,1552,1849,1093,1091,2859,973,506,1339,714,1131,2563,995,733,1903,1900,1700,1462,1777,1155,858,863,1233,1403
